كَتَبَ	كتب	kátaba
أَوَكَتَبْتَكُمَا	أوكتبتكما	ʾawakatabtákuma̱
أَوَكَتَبْتَهَا	أوكتبتها	ʾawakatábtaha̱
أَوَكَتَبْتَهُ	أوكتبته	ʾawakatábtahu
أَوَكَتَبْتَهُمْ	أوكتبتهم	ʾawakatábtahum
أَوَكَتَبْتَهُمَا	أوكتبتهما	ʾawakatabtáhuma̱
أَوَكَتَبْتَهُنَّ	أوكتبتهن	ʾawakatabtahúnna
أَفَكَتَبْتَ	أفكتبت	ʾafakatábta
أَفَكَتَبْتَنِي	أفكتبتني	ʾafakatábtani̱
أَفَكَتَبْتَنَا	أفكتبتنا	ʾafakatábtana̱
أَفَكَتَبْتَكَ	أفكتبتك	ʾafakatábtaka
أَفَكَتَبْتَكِ	أفكتبتك	ʾafakatábtaki
أَفَكَتَبْتَكُمْ	أفكتبتكم	ʾafakatábtakum
أَفَكَتَبْتَكُمَا	أفكتبتكما	ʾafakatabtákuma̱
أَفَكَتَبْتَهَا	أفكتبتها	ʾafakatábtaha̱
أَفَكَتَبْتَهُ	أفكتبته	ʾafakatábtahu
أَفَكَتَبْتَهُمْ	أفكتبتهم	ʾafakatábtahum
أَفَكَتَبْتَهُمَا	أفكتبتهما	ʾafakatabtáhuma̱
أَفَكَتَبْتَهُنَّ	أفكتبتهن	ʾafakatabtahúnna
كَتَبْتِ	كتبت	katábti
كَتَبْتِنِي	كتبتني	katábtini̱
كَتَبْتِنَا	كتبتنا	katábtina̱
كَتَبْتِكَ	كتبتك	katábtika
كَتَبْتِكِ	كتبتك	katábtiki
كَتَبْتِكُمْ	كتبتكم	katábtikum
كَتَبْتِكُمَا	كتبتكما	katabtíkuma̱
كَتَبْتِهَا	كتبتها	katábtiha̱
كَتَبْتِهِ	كتبته	katábtihi
كَتَبْتِهِمْ	كتبتهم	katábtihim
كَتَبْتِهِمَا	كتبتهما	katabtíhima̱
كَتَبْتِهِنَّ	كتبتهن	katabtihínna
كَتَبْتِكُنَّ	كتبتكن	katabtikúnna
وَكَتَبْتِ	وكتبت	wakatábti
وَكَتَبْتِنِي	وكتبتني	wakatábtini̱
وَكَتَبْتِنَا	وكتبتنا	wakatábtina̱
وَكَتَبْتِكَ	وكتبتك	wakatábtika
وَكَتَبْتِكِ	وكتبتك	wakatábtiki
وَكَتَبْتِكُمْ	وكتبتكم	wakatábtikum
وَكَتَبْتِكُمَا	وكتبتكما	wakatabtíkuma̱
وَكَتَبْتِهَا	وكتبتها	wakatábtiha̱
وَكَتَبْتِهِ	وكتبته	wakatábtihi
وَكَتَبْتِهِمْ	وكتبتهم	wakatábtihim
وَكَتَبْتِهِمَا	وكتبتهما	wakatabtíhima̱
وَكَتَبْتِهِنَّ	وكتبتهن	wakatabtihínna
وَكَتَبْتِكُنَّ	وكتبتكن	wakatabtikúnna
فَكَتَبْتِ	فكتبت	fakatábti
فَكَتَبْتِنِي	فكتبتني	fakatábtini̱
فَكَتَبْتِنَا	فكتبتنا	fakatábtina̱
فَكَتَبْتِكَ	فكتبتك	fakatábtika
فَكَتَبْتِكِ	فكتبتك	fakatábtiki
فَكَتَبْتِكُمْ	فكتبتكم	fakatábtikum
فَكَتَبْتِكُمَا	فكتبتكما	fakatabtíkuma̱
فَكَتَبْتِهَا	فكتبتها	fakatábtiha̱
فَكَتَبْتِهِ	فكتبته	fakatábtihi
فَكَتَبْتِهِمْ	فكتبتهم	fakatábtihim
فَكَتَبْتِهِمَا	فكتبتهما	fakatabtíhima̱
فَكَتَبْتِهِنَّ	فكتبتهن	fakatabtihínna
فَكَتَبْتِكُنَّ	فكتبتكن	fakatabtikúnna
أَكَتَبْتِ	أكتبت	ʾakatábti
أَكَتَبْتِنِي	أكتبتني	ʾakatábtini̱
أَكَتَبْتِنَا	أكتبتنا	ʾakatábtina̱
أَكَتَبْتِكَ	أكتبتك	ʾakatábtika
أَكَتَبْتِكِ	أكتبتك	ʾakatábtiki
أَكَتَبْتِكُمْ	أكتبتكم	ʾakatábtikum
أَكَتَبْتِكُمَا	أكتبتكما	ʾakatabtíkuma̱
أَكَتَبْتِهَا	أكتبتها	ʾakatábtiha̱
أَكَتَبْتِهِ	أكتبته	ʾakatábtihi
أَكَتَبْتِهِمْ	أكتبتهم	ʾakatábtihim
أَكَتَبْتِهِمَا	أكتبتهما	ʾakatabtíhima̱
أَكَتَبْتِهِنَّ	أكتبتهن	ʾakatabtihínna
أَكَتَبْتِكُنَّ	أكتبتكن	ʾakatabtikúnna
أَوَكَتَبْتِ	أوكتبت	ʾawakatábti
أَوَكَتَبْتِنِي	أوكتبتني	ʾawakatábtini̱
أَوَكَتَبْتِنَا	أوكتبتنا	ʾawakatábtina̱
أَوَكَتَبْتِكَ	أوكتبتك	ʾawakatábtika
أَوَكَتَبْتِكِ	أوكتبتك	ʾawakatábtiki
أَوَكَتَبْتِكُمْ	أوكتبتكم	ʾawakatábtikum
أَوَكَتَبْتِكُمَا	أوكتبتكما	ʾawakatabtíkuma̱
أَوَكَتَبْتِهَا	أوكتبتها	ʾawakatábtiha̱
أَوَكَتَبْتِهِ	أوكتبته	ʾawakatábtihi
أَوَكَتَبْتِهِمْ	أوكتبتهم	ʾawakatábtihim
أَوَكَتَبْتِهِمَا	أوكتبتهما	ʾawakatabtíhima̱
أَوَكَتَبْتِهِنَّ	أوكتبتهن	ʾawakatabtihínna
أَوَكَتَبْتِكُنَّ	أوكتبتكن	ʾawakatabtikúnna
أَفَكَتَبْتِ	أفكتبت	ʾafakatábti
أَفَكَتَبْتِنِي	أفكتبتني	ʾafakatábtini̱
أَفَكَتَبْتِنَا	أفكتبتنا	ʾafakatábtina̱
أَفَكَتَبْتِكَ	أفكتبتك	ʾafakatábtika
أَفَكَتَبْتِكِ	أفكتبتك	ʾafakatábtiki
أَفَكَتَبْتِكُمْ	أفكتبتكم	ʾafakatábtikum
أَفَكَتَبْتِكُمَا	أفكتبتكما	ʾafakatabtíkuma̱
أَفَكَتَبْتِهَا	أفكتبتها	ʾafakatábtiha̱
أَفَكَتَبْتِهِ	أفكتبته	ʾafakatábtihi
أَفَكَتَبْتِهِمْ	أفكتبتهم	ʾafakatábtihim
أَفَكَتَبْتِهِمَا	أفكتبتهما	ʾafakatabtíhima̱
أَفَكَتَبْتِهِنَّ	أفكتبتهن	ʾafakatabtihínna
أَفَكَتَبْتِكُنَّ	أفكتبتكن	ʾafakatabtikúnna
كَتَبَتْ	كتبت	kátabat
كَتَبَتْنِي	كتبتني	katabátni̱
كَتَبَتْنَا	كتبتنا	katabátna̱
كَتَبَتْكَ	كتبتك	katabátka
كَتَبَتْكِ	كتبتك	katabátki
كَتَبَتْكُمْ	كتبتكم	katabátkum
كَتَبَتْكُمَا	كتبتكما	katabátkuma̱
كَتَبَتْهَا	كتبتها	katabát˘ha̱
كَتَبَتْهُ	كتبته	katabát˘hu
كَتَبَتْهُمْ	كتبتهم	katabát˘hum
كَتَبَتْهُمَا	كتبتهما	katabát˘huma̱
كَتَبَتْهُنَّ	كتبتهن	katabat˘húnna
كَتَبَتْكُنَّ	كتبتكن	katabatkúnna
وَكَتَبَتْ	وكتبت	wakátabat
وَكَتَبَتْنِي	وكتبتني	wakatabátni̱
وَكَتَبَتْنَا	وكتبتنا	wakatabátna̱
وَكَتَبَتْكَ	وكتبتك	wakatabátka
وَكَتَبَتْكِ	وكتبتك	wakatabátki
وَكَتَبَتْكُمْ	وكتبتكم	wakatabátkum
وَكَتَبَتْكُمَا	وكتبتكما	wakatabátkuma̱
وَكَتَبَتْهَا	وكتبتها	wakatabát˘ha̱
وَكَتَبَتْهُ	وكتبته	wakatabát˘hu
وَكَتَبَتْهُمْ	وكتبتهم	wakatabát˘hum
وَكَتَبَتْهُمَا	وكتبتهما	wakatabát˘huma̱
وَكَتَبَتْهُنَّ	وكتبتهن	wakatabat˘húnna
وَكَتَبَتْكُنَّ	وكتبتكن	wakatabatkúnna
فَكَتَبَتْ	فكتبت	fakátabat
فَكَتَبَتْنِي	فكتبتني	fakatabátni̱
فَكَتَبَتْنَا	فكتبتنا	fakatabátna̱
فَكَتَبَتْكَ	فكتبتك	fakatabátka
فَكَتَبَتْكِ	فكتبتك	fakatabátki
فَكَتَبَتْكُمْ	فكتبتكم	fakatabátkum
فَكَتَبَتْكُمَا	فكتبتكما	fakatabátkuma̱
فَكَتَبَتْهَا	فكتبتها	fakatabát˘ha̱
فَكَتَبَتْهُ	فكتبته	fakatabát˘hu
فَكَتَبَتْهُمْ	فكتبتهم	fakatabát˘hum
فَكَتَبَتْهُمَا	فكتبتهما	fakatabát˘huma̱
فَكَتَبَتْهُنَّ	فكتبتهن	fakatabat˘húnna
فَكَتَبَتْكُنَّ	فكتبتكن	fakatabatkúnna
أَكَتَبَتْ	أكتبت	ʾakátabat
أَكَتَبَتْنِي	أكتبتني	ʾakatabátni̱
أَكَتَبَتْنَا	أكتبتنا	ʾakatabátna̱
أَكَتَبَتْكَ	أكتبتك	ʾakatabátka
أَكَتَبَتْكِ	أكتبتك	ʾakatabátki
أَكَتَبَتْكُمْ	أكتبتكم	ʾakatabátkum
أَكَتَبَتْكُمَا	أكتبتكما	ʾakatabátkuma̱
أَكَتَبَتْهَا	أكتبتها	ʾakatabát˘ha̱
أَكَتَبَتْهُ	أكتبته	ʾakatabát˘hu
أَكَتَبَتْهُمْ	أكتبتهم	ʾakatabát˘hum
أَكَتَبَتْهُمَا	أكتبتهما	ʾakatabát˘huma̱
أَكَتَبَتْهُنَّ	أكتبتهن	ʾakatabat˘húnna
أَكَتَبَتْكُنَّ	أكتبتكن	ʾakatabatkúnna
أَوَكَتَبَتْ	أوكتبت	ʾawakátabat
أَوَكَتَبَتْنِي	أوكتبتني	ʾawakatabátni̱
أَوَكَتَبَتْنَا	أوكتبتنا	ʾawakatabátna̱
أَوَكَتَبَتْكَ	أوكتبتك	ʾawakatabátka
أَوَكَتَبَتْكِ	أوكتبتك	ʾawakatabátki
أَوَكَتَبَتْكُمْ	أوكتبتكم	ʾawakatabátkum
أَوَكَتَبَتْكُمَا	أوكتبتكما	ʾawakatabátkuma̱
أَوَكَتَبَتْهَا	أوكتبتها	ʾawakatabát˘ha̱
أَوَكَتَبَتْهُ	أوكتبته	ʾawakatabát˘hu
أَوَكَتَبَتْهُمْ	أوكتبتهم	ʾawakatabát˘hum
أَوَكَتَبَتْهُمَا	أوكتبتهما	ʾawakatabát˘huma̱
أَوَكَتَبَتْهُنَّ	أوكتبتهن	ʾawakatabat˘húnna
أَوَكَتَبَتْكُنَّ	أوكتبتكن	ʾawakatabatkúnna
أَفَكَتَبَتْ	أفكتبت	ʾafakátabat
أَفَكَتَبَتْنِي	أفكتبتني	ʾafakatabátni̱
أَفَكَتَبَتْنَا	أفكتبتنا	ʾafakatabátna̱
أَفَكَتَبَتْكَ	أفكتبتك	ʾafakatabátka
أَفَكَتَبَتْكِ	أفكتبتك	ʾafakatabátki
أَفَكَتَبَتْكُمْ	أفكتبتكم	ʾafakatabátkum
أَفَكَتَبَتْكُمَا	أفكتبتكما	ʾafakatabátkuma̱
أَفَكَتَبَتْهَا	أفكتبتها	ʾafakatabát˘ha̱
أَفَكَتَبَتْهُ	أفكتبته	ʾafakatabát˘hu
أَفَكَتَبَتْهُمْ	أفكتبتهم	ʾafakatabát˘hum
أَفَكَتَبَتْهُمَا	أفكتبتهما	ʾafakatabát˘huma̱
أَفَكَتَبَتْهُنَّ	أفكتبتهن	ʾafakatabat˘húnna
أَفَكَتَبَتْكُنَّ	أفكتبتكن	ʾafakatabatkúnna
كَتَبَتَا	كتبتا	katábata̱
كَتَبَتَانِي	كتبتاني	katabatā́ni̱
كَتَبَتَانَا	كتبتانا	katabatā́na̱
كَتَبَتَاكَ	كتبتاك	katabatā́ka
كَتَبَتَاكِ	كتبتاك	katabatā́ki
كَتَبَتَاكُمْ	كتبتاكم	katabatā́kum
كَتَبَتَاكُمَا	كتبتاكما	katabatā́kuma̱
كَتَبَتَاهَا	كتبتاها	katabatā́ha̱
كَتَبَتَاهُ	كتبتاه	katabatā́hu
كَتَبَتَاهُمْ	كتبتاهم	katabatā́hum
كَتَبَتَاهُمَا	كتبتاهما	katabatā́huma̱
كَتَبَتَاهُنَّ	كتبتاهن	katabatāhúnna
كَتَبَتَاكُنَّ	كتبتاكن	katabatākúnna
وَكَتَبَتَا	وكتبتا	wakatábata̱
وَكَتَبَتَانِي	وكتبتاني	wakatabatā́ni̱
وَكَتَبَتَانَا	وكتبتانا	wakatabatā́na̱
وَكَتَبَتَاكَ	وكتبتاك	wakatabatā́ka
وَكَتَبَتَاكِ	وكتبتاك	wakatabatā́ki
وَكَتَبَتَاكُمْ	وكتبتاكم	wakatabatā́kum
وَكَتَبَتَاكُمَا	وكتبتاكما	wakatabatā́kuma̱
وَكَتَبَتَاهَا	وكتبتاها	wakatabatā́ha̱
وَكَتَبَتَاهُ	وكتبتاه	wakatabatā́hu
وَكَتَبَتَاهُمْ	وكتبتاهم	wakatabatā́hum
وَكَتَبَتَاهُمَا	وكتبتاهما	wakatabatā́huma̱
وَكَتَبَتَاهُنَّ	وكتبتاهن	wakatabatāhúnna
وَكَتَبَتَاكُنَّ	وكتبتاكن	wakatabatākúnna
فَكَتَبَتَا	فكتبتا	fakatábata̱
فَكَتَبَتَانِي	فكتبتاني	fakatabatā́ni̱
فَكَتَبَتَانَا	فكتبتانا	fakatabatā́na̱
فَكَتَبَتَاكَ	فكتبتاك	fakatabatā́ka
فَكَتَبَتَاكِ	فكتبتاك	fakatabatā́ki
فَكَتَبَتَاكُمْ	فكتبتاكم	fakatabatā́kum
فَكَتَبَتَاكُمَا	فكتبتاكما	fakatabatā́kuma̱
فَكَتَبَتَاهَا	فكتبتاها	fakatabatā́ha̱
فَكَتَبَتَاهُ	فكتبتاه	fakatabatā́hu
فَكَتَبَتَاهُمْ	فكتبتاهم	fakatabatā́hum
فَكَتَبَتَاهُمَا	فكتبتاهما	fakatabatā́huma̱
فَكَتَبَتَاهُنَّ	فكتبتاهن	fakatabatāhúnna
فَكَتَبَتَاكُنَّ	فكتبتاكن	fakatabatākúnna
أَكَتَبَتَا	أكتبتا	ʾakatábata̱
أَكَتَبَتَانِي	أكتبتاني	ʾakatabatā́ni̱
أَكَتَبَتَانَا	أكتبتانا	ʾakatabatā́na̱
أَكَتَبَتَاكَ	أكتبتاك	ʾakatabatā́ka
أَكَتَبَتَاكِ	أكتبتاك	ʾakatabatā́ki
أَكَتَبَتَاكُمْ	أكتبتاكم	ʾakatabatā́kum
أَكَتَبَتَاكُمَا	أكتبتاكما	ʾakatabatā́kuma̱
أَكَتَبَتَاهَا	أكتبتاها	ʾakatabatā́ha̱
أَكَتَبَتَاهُ	أكتبتاه	ʾakatabatā́hu
أَكَتَبَتَاهُمْ	أكتبتاهم	ʾakatabatā́hum
أَكَتَبَتَاهُمَا	أكتبتاهما	ʾakatabatā́huma̱
أَكَتَبَتَاهُنَّ	أكتبتاهن	ʾakatabatāhúnna
أَكَتَبَتَاكُنَّ	أكتبتاكن	ʾakatabatākúnna
أَوَكَتَبَتَا	أوكتبتا	ʾawakatábata̱
أَوَكَتَبَتَانِي	أوكتبتاني	ʾawakatabatā́ni̱
أَوَكَتَبَتَانَا	أوكتبتانا	ʾawakatabatā́na̱
أَوَكَتَبَتَاكَ	أوكتبتاك	ʾawakatabatā́ka
أَوَكَتَبَتَاكِ	أوكتبتاك	ʾawakatabatā́ki
أَوَكَتَبَتَاكُمْ	أوكتبتاكم	ʾawakatabatā́kum
أَوَكَتَبَتَاكُمَا	أوكتبتاكما	ʾawakatabatā́kuma̱
أَوَكَتَبَتَاهَا	أوكتبتاها	ʾawakatabatā́ha̱
أَوَكَتَبَتَاهُ	أوكتبتاه	ʾawakatabatā́hu
أَوَكَتَبَتَاهُمْ	أوكتبتاهم	ʾawakatabatā́hum
أَوَكَتَبَتَاهُمَا	أوكتبتاهما	ʾawakatabatā́huma̱
أَوَكَتَبَتَاهُنَّ	أوكتبتاهن	ʾawakatabatāhúnna
أَوَكَتَبَتَاكُنَّ	أوكتبتاكن	ʾawakatabatākúnna
أَفَكَتَبَتَا	أفكتبتا	ʾafakatábata̱
أَفَكَتَبَتَانِي	أفكتبتاني	ʾafakatabatā́ni̱
أَفَكَتَبَتَانَا	أفكتبتانا	ʾafakatabatā́na̱
أَفَكَتَبَتَاكَ	أفكتبتاك	ʾafakatabatā́ka
أَفَكَتَبَتَاكِ	أفكتبتاك	ʾafakatabatā́ki
أَفَكَتَبَتَاكُمْ	أفكتبتاكم	ʾafakatabatā́kum
أَفَكَتَبَتَاكُمَا	أفكتبتاكما	ʾafakatabatā́kuma̱
أَفَكَتَبَتَاهَا	أفكتبتاها	ʾafakatabatā́ha̱
أَفَكَتَبَتَاهُ	أفكتبتاه	ʾafakatabatā́hu
أَفَكَتَبَتَاهُمْ	أفكتبتاهم	ʾafakatabatā́hum
أَفَكَتَبَتَاهُمَا	أفكتبتاهما	ʾafakatabatā́huma̱
أَفَكَتَبَتَاهُنَّ	أفكتبتاهن	ʾafakatabatāhúnna
أَفَكَتَبَتَاكُنَّ	أفكتبتاكن	ʾafakatabatākúnna
كَتَبْتُمْ	كتبتم	katábtum
وَكَتَبْتُمْ	وكتبتم	wakatábtum
فَكَتَبْتُمْ	فكتبتم	fakatábtum
أَكَتَبْتُمْ	أكتبتم	ʾakatábtum
أَوَكَتَبْتُمْ	أوكتبتم	ʾawakatábtum
أَفَكَتَبْتُمْ	أفكتبتم	ʾafakatábtum
كَتَبْتُمَا	كتبتما	katábtuma̱
كَتَبْتُمَانِي	كتبتماني	katabtumā́ni̱
كَتَبْتُمَانَا	كتبتمانا	katabtumā́na̱
كَتَبْتُمَاكُمْ	كتبتماكم	katabtumā́kum
كَتَبْتُمَاكُمَا	كتبتماكما	katabtumā́kuma̱
كَتَبْتُمَاهَا	كتبتماها	katabtumā́ha̱
كَتَبْتُمَاهُ	كتبتماه	katabtumā́hu
كَتَبْتُمَاهُمْ	كتبتماهم	katabtumā́hum
كَتَبْتُمَاهُمَا	كتبتماهما	katabtumā́huma̱
كَتَبْتُمَاهُنَّ	كتبتماهن	katabtumāhúnna
وَكَتَبْتُمَا	وكتبتما	wakatábtuma̱
وَكَتَبْتُمَانِي	وكتبتماني	wakatabtumā́ni̱
وَكَتَبْتُمَانَا	وكتبتمانا	wakatabtumā́na̱
وَكَتَبْتُمَاكُمْ	وكتبتماكم	wakatabtumā́kum
وَكَتَبْتُمَاكُمَا	وكتبتماكما	wakatabtumā́kuma̱
وَكَتَبْتُمَاهَا	وكتبتماها	wakatabtumā́ha̱
وَكَتَبْتُمَاهُ	وكتبتماه	wakatabtumā́hu
وَكَتَبْتُمَاهُمْ	وكتبتماهم	wakatabtumā́hum
وَكَتَبْتُمَاهُمَا	وكتبتماهما	wakatabtumā́huma̱
وَكَتَبْتُمَاهُنَّ	وكتبتماهن	wakatabtumāhúnna
فَكَتَبْتُمَا	فكتبتما	fakatábtuma̱
فَكَتَبْتُمَانِي	فكتبتماني	fakatabtumā́ni̱
فَكَتَبْتُمَانَا	فكتبتمانا	fakatabtumā́na̱
فَكَتَبْتُمَاكُمْ	فكتبتماكم	fakatabtumā́kum
فَكَتَبْتُمَاكُمَا	فكتبتماكما	fakatabtumā́kuma̱
فَكَتَبْتُمَاهَا	فكتبتماها	fakatabtumā́ha̱
فَكَتَبْتُمَاهُ	فكتبتماه	fakatabtumā́hu
فَكَتَبْتُمَاهُمْ	فكتبتماهم	fakatabtumā́hum
فَكَتَبْتُمَاهُمَا	فكتبتماهما	fakatabtumā́huma̱
فَكَتَبْتُمَاهُنَّ	فكتبتماهن	fakatabtumāhúnna
أَكَتَبْتُمَا	أكتبتما	ʾakatábtuma̱
أَكَتَبْتُمَانِي	أكتبتماني	ʾakatabtumā́ni̱
أَكَتَبْتُمَانَا	أكتبتمانا	ʾakatabtumā́na̱
أَكَتَبْتُمَاكُمْ	أكتبتماكم	ʾakatabtumā́kum
أَكَتَبْتُمَاكُمَا	أكتبتماكما	ʾakatabtumā́kuma̱
أَكَتَبْتُمَاهَا	أكتبتماها	ʾakatabtumā́ha̱
أَكَتَبْتُمَاهُ	أكتبتماه	ʾakatabtumā́hu
أَكَتَبْتُمَاهُمْ	أكتبتماهم	ʾakatabtumā́hum
أَكَتَبْتُمَاهُمَا	أكتبتماهما	ʾakatabtumā́huma̱
أَكَتَبْتُمَاهُنَّ	أكتبتماهن	ʾakatabtumāhúnna
أَوَكَتَبْتُمَا	أوكتبتما	ʾawakatábtuma̱
أَوَكَتَبْتُمَانِي	أوكتبتماني	ʾawakatabtumā́ni̱
أَوَكَتَبْتُمَانَا	أوكتبتمانا	ʾawakatabtumā́na̱
أَوَكَتَبْتُمَاكُمْ	أوكتبتماكم	ʾawakatabtumā́kum
أَوَكَتَبْتُمَاكُمَا	أوكتبتماكما	ʾawakatabtumā́kuma̱
أَوَكَتَبْتُمَاهَا	أوكتبتماها	ʾawakatabtumā́ha̱
أَوَكَتَبْتُمَاهُ	أوكتبتماه	ʾawakatabtumā́hu
أَوَكَتَبْتُمَاهُمْ	أوكتبتماهم	ʾawakatabtumā́hum
أَوَكَتَبْتُمَاهُمَا	أوكتبتماهما	ʾawakatabtumā́huma̱
أَوَكَتَبْتُمَاهُنَّ	أوكتبتماهن	ʾawakatabtumāhúnna
أَفَكَتَبْتُمَا	أفكتبتما	ʾafakatábtuma̱
أَفَكَتَبْتُمَانِي	أفكتبتماني	ʾafakatabtumā́ni̱
أَفَكَتَبْتُمَانَا	أفكتبتمانا	ʾafakatabtumā́na̱
أَفَكَتَبْتُمَاكُمْ	أفكتبتماكم	ʾafakatabtumā́kum
أَفَكَتَبْتُمَاكُمَا	أفكتبتماكما	ʾafakatabtumā́kuma̱
أَفَكَتَبْتُمَاهَا	أفكتبتماها	ʾafakatabtumā́ha̱
أَفَكَتَبْتُمَاهُ	أفكتبتماه	ʾafakatabtumā́hu
أَفَكَتَبْتُمَاهُمْ	أفكتبتماهم	ʾafakatabtumā́hum
أَفَكَتَبْتُمَاهُمَا	أفكتبتماهما	ʾafakatabtumā́huma̱
أَفَكَتَبْتُمَاهُنَّ	أفكتبتماهن	ʾafakatabtumāhúnna
