كَتَبَ	كتب	kátaba
أَكَتَبْتُهُمْ	أكتبتهم	ʾakatábtuhum
أَكَتَبْتُهُمَا	أكتبتهما	ʾakatabtúhuma̱
أَكَتَبْتُهُنَّ	أكتبتهن	ʾakatabtuhúnna
أَكَتَبْتُكُنَّ	أكتبتكن	ʾakatabtukúnna
أَوَكَتَبْتُ	أوكتبت	ʾawakatábtu
أَوَكَتَبْتُنِي	أوكتبتني	ʾawakatábtuni̱
أَوَكَتَبْتُنَا	أوكتبتنا	ʾawakatábtuna̱
أَوَكَتَبْتُكَ	أوكتبتك	ʾawakatábtuka
أَوَكَتَبْتُكِ	أوكتبتك	ʾawakatábtuki
أَوَكَتَبْتُكُمْ	أوكتبتكم	ʾawakatábtukum
أَوَكَتَبْتُكُمَا	أوكتبتكما	ʾawakatabtúkuma̱
أَوَكَتَبْتُهَا	أوكتبتها	ʾawakatábtuha̱
أَوَكَتَبْتُهُ	أوكتبته	ʾawakatábtuhu
أَوَكَتَبْتُهُمْ	أوكتبتهم	ʾawakatábtuhum
أَوَكَتَبْتُهُمَا	أوكتبتهما	ʾawakatabtúhuma̱
أَوَكَتَبْتُهُنَّ	أوكتبتهن	ʾawakatabtuhúnna
أَوَكَتَبْتُكُنَّ	أوكتبتكن	ʾawakatabtukúnna
أَفَكَتَبْتُ	أفكتبت	ʾafakatábtu
أَفَكَتَبْتُنِي	أفكتبتني	ʾafakatábtuni̱
أَفَكَتَبْتُنَا	أفكتبتنا	ʾafakatábtuna̱
أَفَكَتَبْتُكَ	أفكتبتك	ʾafakatábtuka
أَفَكَتَبْتُكِ	أفكتبتك	ʾafakatábtuki
أَفَكَتَبْتُكُمْ	أفكتبتكم	ʾafakatábtukum
أَفَكَتَبْتُكُمَا	أفكتبتكما	ʾafakatabtúkuma̱
أَفَكَتَبْتُهَا	أفكتبتها	ʾafakatábtuha̱
أَفَكَتَبْتُهُ	أفكتبته	ʾafakatábtuhu
أَفَكَتَبْتُهُمْ	أفكتبتهم	ʾafakatábtuhum
أَفَكَتَبْتُهُمَا	أفكتبتهما	ʾafakatabtúhuma̱
أَفَكَتَبْتُهُنَّ	أفكتبتهن	ʾafakatabtuhúnna
أَفَكَتَبْتُكُنَّ	أفكتبتكن	ʾafakatabtukúnna
كَتَبْتَ	كتبت	katábta
كَتَبْتَنِي	كتبتني	katábtani̱
كَتَبْتَنَا	كتبتنا	katábtana̱
كَتَبْتَكَ	كتبتك	katábtaka
كَتَبْتَكِ	كتبتك	katábtaki
كَتَبْتَكُمْ	كتبتكم	katábtakum
كَتَبْتَكُمَا	كتبتكما	katabtákuma̱
كَتَبْتَهَا	كتبتها	katábtaha̱
كَتَبْتَهُ	كتبته	katábtahu
كَتَبْتَهُمْ	كتبتهم	katábtahum
كَتَبْتَهُمَا	كتبتهما	katabtáhuma̱
كَتَبْتَهُنَّ	كتبتهن	katabtahúnna
وَكَتَبْتَ	وكتبت	wakatábta
وَكَتَبْتَنِي	وكتبتني	wakatábtani̱
وَكَتَبْتَنَا	وكتبتنا	wakatábtana̱
وَكَتَبْتَكَ	وكتبتك	wakatábtaka
وَكَتَبْتَكِ	وكتبتك	wakatábtaki
وَكَتَبْتَكُمْ	وكتبتكم	wakatábtakum
وَكَتَبْتَكُمَا	وكتبتكما	wakatabtákuma̱
وَكَتَبْتَهَا	وكتبتها	wakatábtaha̱
وَكَتَبْتَهُ	وكتبته	wakatábtahu
وَكَتَبْتَهُمْ	وكتبتهم	wakatábtahum
